Motor frequency,Crank position,noBond_PP_avg,noBond_PP_stdev,Bond_PP_avg,Bond_PP_stdev,noBond_Freq_avg,noBond_Freq_stdev,Bond_Freq_avg,Bond_Freq_stdev,Wavelength_avg,Wavelength_stdev
90,15,40.8,1.8396263207510377,44.009625,1.6652208913800626,0.3736291479651592,0.005763678414129962,0.3732339709729774,0.006173715684374124,9.604936640371719,0.6741923504871449
15,90,43.36506329113924,2.1855679737170712,46.93582278481013,2.0711124272093158,0.3738058757705681,0.012366616837156522,0.37359307913941137,0.008334929211942631,10.533775530764762,1.247327859771864
15,110,48.50101265822785,2.3923036826653346,54.88645569620253,2.3736054140217897,0.37265178222381695,0.00902458282851514,0.3729628600236399,0.006367690513522049,10.109882464202459,0.8786737498878806
15,130,55.38303797468354,2.7573218864903897,61.26405063291139,2.3043963106153855,0.37240625420118695,0.01213141404932178,0.3718704915423975,0.00688611514172369,9.949473056498563,0.8893534304666665
15,150,61.50835443037975,2.8002845232636844,67.35025316455696,2.3397934243046623,0.37148300935083933,0.014610900215054805,0.370645952640074,0.007254467447599695,9.915749097225836,0.8983439977364847
15,170,67.7440506329114,2.631937240594667,73.09556962025317,2.6136725055455456,0.3697470563674908,0.01116998895993898,0.36965223163547406,0.00625006769441612,9.722947150467256,0.8262231626796172
15,190,75.29291139240506,2.984199051542562,80.86417721518987,2.4457622206557663,0.36845647497391965,0.0070637736415332854,0.36818576767841193,0.007070869069787167,10.515342705636638,0.6916000080018081
15,230,87.99417721518988,1.6377263848951973,94.59518987341772,1.6232950509566153,0.3645440655275771,0.0065192479053007195,0.36455397610990536,0.00675068552917781,11.413186199891792,0.7526888933228333
15,210,83.21506329113924,2.1538170489988846,89.82113924050633,1.4743681717958173,0.366406965285432,0.011955484195658955,0.36655928748926236,0.006868639057390455,10.568373303849127,1.1755355167616905
15,250,94.86417721518988,1.7203954581126761,97.36189873417722,1.9752514127219143,0.36249010473754717,0.0038531498773209743,0.3623761086451014,0.004621608897939982,8.784230070324538,0.49768985460449466
15,270,101.2232911392405,2.901438070283374,98.99430379746836,1.970079188532266,0.3601203815018661,0.0074265928804400526,0.3600648383041267,0.005898024717259696,12.679736360885501,0.9822063487307147
15,290,103.52556962025317,2.2561725854808827,98.2946835443038,1.8171814152714059,0.35729223513478386,0.007383072262608864,0.3571761825303159,0.006850886838750611,14.81654541532682,1.4796799808620595
15,310,108.58620253164557,1.8471178545808769,97.17746835443037,2.8619365276134765,0.35366031557620486,0.004396764433641091,0.3535348564818864,0.0043907279604133475,7.600949969070462,0.39392631539602974
15,310_roll,104.95620253164557,1.8528914782711678,90.55643037974683,1.6881169503442588,0.3566471291517219,0.002239322757101177,0.3567801737964016,0.0026747667145087836,8.073599527665289,0.2928852033182382
22.5,310,118.87389743589743,21.739604904228166,160.9960253164557,13.673388421398252,0.5420553870378685,0.04171440585527074,0.5475457957005537,0.05999725417561431,10.543240511122859,2.1631481135115376