Crank position,Motor Frequency (Hz),No Bond Peak-Peak Average (mm),No Bond Peak-Peak Standard deviation (mm),Bond Peak-Peak Average (mm),Bond Peak-Peak Standard deviation (mm),No Bond Frequency Average (Hz),No Bond Frequency Standard deviation (Hz),Bond Frequency Average (Hz),Bond Frequency Standard deviation (Hz),Wavelength Median (m), Wavelength Average (m),Wavelength Standard deviation (m)
A,20b,46.375,1.1822068623242858,48.96045226130653,1.22131875093948,0.4980629944285407,0.00524734471909186,0.4979767291531998,0.005830909043596806,5.038727272727224,4.983730220171737,0.1096166930139673
A,22,50.416666666666664,1.1881927581233833,53.513015075376885,1.157107135927357,0.5483631670804042,0.006187253047026233,0.5484354413702239,0.0062291938309952735,4.255000000000033,4.270992709705753,0.07497559425399394
A,24b,40.38316582914573,1.2943566428254831,44.54055276381909,1.2919667084477346,0.5983544013180996,0.008691702798162776,0.5983611538773196,0.008920074345738781,3.7296000000000156,3.7710580668896316,0.07317701480349165
A,26,57.41834170854271,2.6563346744805276,76.83447236180905,1.865956736750402,0.6479419703103915,0.008338580810116472,0.6479419703103916,0.008338580810116963,3.24461538461546,3.2796395213675287,0.06340030055280577
A,28,56.14949748743719,1.343455798893106,69.6280904522613,1.824503079396294,0.698267910767911,0.009922766225359772,0.6982357357357357,0.008723786224996666,3.073846153846089,3.060647589743585,0.051535405238325074
A,30,74.91834170854271,1.9097180403810041,76.55301507537689,1.419838500836789,0.7479946524064169,0.011086672280664362,0.7479946524064169,0.011086672280665644,2.5160000000000493,2.50000562847609,0.03853854185816826
A,32c,103.70668316831683,5.100633302656935,74.42638190954773,2.626115534949559,0.7991054196559123,0.15624363557983048,0.7846005479735315,0.08768080210378265,1.145806451612923,1.248989703879795,0.4063950603303953
A,34,77.65151515151516,2.2372929906843235,63.923969849246234,2.0751256062982373,0.8476104435156161,0.015858264560716605,0.8519048943270301,0.04305321795923049,2.145999999999965,2.1351082251082256,0.026541374562467177
A,36,87.20477386934674,1.9541369802282436,92.14291457286433,2.6569224521818025,0.8972016967706623,0.012875266031114887,0.8970888028257328,0.03073636790089194,2.072000000000028,2.0905705792205453,0.035643060270274404
A,40,103.7625,8.012229581353845,101.10130653266332,6.4910226507098105,0.991236688030167,0.07579276947708444,0.9935878035718191,0.0931564345587541,1.5633802816901234,2.064718330194673,1.0633925977427732
B,17,36.31909547738694,1.110924715343601,44.431758793969856,1.0395805399782978,0.4216272160529905,0.004237010336324401,0.42162941174591917,0.004336211526596804,7.835294117646907,7.760483983382193,0.2574962894502465
B,18,38.575,1.121119774037856,47.10341708542713,1.79630889278333,0.4469749719916981,0.005505873905746236,0.4470388944240416,0.004800983646030535,6.6000000000000565,6.737912887843324,0.3785718892526363
B,19.5,53.8875,1.090948943805323,56.09,1.1889716293307997,0.4850186402572641,0.005081596484719792,0.48501486951819917,0.004890261762038207,5.497142857142962,5.4895752667752165,0.12129769741306262
B,20,62.85175879396985,1.3420677631624083,66.24788944723618,1.19099931211304,0.49707059746975707,0.005128092045252118,0.49709483793517417,0.0062293465797309145,4.625000000000099,4.641753980237162,0.11116935203757324
B,21,74.92462311557789,1.339228156144593,74.53070351758795,1.2362114279048346,0.5210896619557127,0.004543559620445979,0.5211628184117254,0.004041110799589721,4.486736842105221,4.498692199446825,0.09515776362010216
B,22,62.90829145728643,1.2429372573604567,69.36502512562814,1.2878303241537512,0.5464975845410628,0.005255967873058297,0.5464975845410628,0.005255967873058297,4.343478260869518,4.329124308300398,0.08493402421024744
B,23,50.452600000000004,1.3804548227261693,58.3778391959799,1.3765092192125432,0.572019614752173,0.006296123569143224,0.5720137420718816,0.006026004513372415,4.6514285714285295,2.802745952516007,3.6410723788516224
B,24,55.5213567839196,1.3830170022917248,56.490804020100505,1.664870958928272,0.5966392512762337,0.00860710533928513,0.5967034005888232,0.005220201606190979,3.453333333333308,3.444462820512824,0.0638014414427695
B,25,84.07663316582915,1.6293455403951562,72.78989949748744,2.203618234445694,0.6208841463414635,0.006801768953330434,0.6208919637273297,0.007160334547583288,3.5520000000000507,3.5653199999999994,0.05512025303953101
B,26,79.12688442211055,2.5467682713565494,97.08035175879397,3.2956255635977256,0.6455887314439946,0.007876894209448685,0.6454635809898968,0.009458964860127832,3.3299999999999397,3.295016382685418,0.07782554960590367
B,27,78.3856783919598,1.5208345718834066,73.15195979899497,1.4826350683328875,0.6712403192666352,0.008168202987501252,0.6712304409672829,0.007738160382097996,3.2855999999999144,3.2503219230769225,0.06163627864324741
B,28,77.44346733668341,2.414237554045182,90.90386934673367,2.0059388096589688,0.6968468468468467,0.0075470533929481365,0.6968468468468468,0.007547053392943694,3.0738461538461497,3.080654153846152,0.041120780970227346
B,29b,96.17948717948718,1.9045766214026545,130.72863636363635,12.126325084706858,0.7203749823610268,0.012473787263694027,0.7491758044891053,0.14119455784446955,-14.12727272727226,6.4656441270379394,34.34783375924863
B,30,103.51130653266331,2.642324562280693,105.57768844221106,2.3524823947466666,0.7474524658348186,0.01501324580115305,0.7484948418979489,0.026134524962966536,2.9303999999999855,2.9257521762452114,0.0735538459601684
B,31,103.73125,1.645753157303327,93.10341708542714,2.3432571180134603,0.7718130067276177,0.023208055865051327,0.7715053987685345,0.025775887797983562,2.457857142857151,2.4768694671327918,0.0678229532985798
B,32,148.59924623115577,3.753266178240037,105.51522613065326,7.3251980925481694,0.7991316099201096,0.04030865485940039,0.79441821064304,0.020256645121908647,2.6311111111109557,2.5937678395646406,0.13383111434306588
B,33,96.50883838383838,1.8000240168001296,78.14497487437185,2.716023510849403,0.8129631527150373,0.08395024892010303,0.824358793277772,0.052899221180037946,2.928510638297901,2.9485171666851686,0.21791340269070616
B,34,111.1625,2.356130408638826,88.94452261306533,3.361273755713704,0.8485442515140544,0.02644638731828878,0.8462672201960747,0.026138854228743565,2.0767741935484136,1.707135663885415,0.4645164660641882
C,15,50.92964824120603,1.2809601736782925,42.80748743718593,1.0960400340108527,0.372665343938295,0.0034447583627509265,0.37260714562504843,0.0032951398874781594,9.596129032258462,9.796041222910064,0.4606779871655696
C,16,50.778894472361806,1.0463292179051573,54.1991959798995,1.2007671608306139,0.396858562584369,0.006539213883198754,0.3961033506144393,0.003599545120484002,8.476363636363983,8.623173853717429,0.3234986828555557
C,17,45.97989949748744,1.1226425310286858,56.89939698492462,1.337579465473175,0.4243424897720631,0.004055527745782757,0.42434248977206307,0.00405552774578261,7.079999999999979,7.088302047426283,0.2250418962640785
C,18,50.43125,2.292238584033227,58.22326633165829,1.2689293524213536,0.45443563376866475,0.05169269827677787,0.4474427862585757,0.005022859490383998,6.9066666666664345,6.60160509295208,0.733452094545503
C,19,63.36875,1.5510446917089113,67.29733668341709,1.3092443044359754,0.47236332849540397,0.004448399202852215,0.4723799436063588,0.005253915571115397,5.739512195122012,5.786221341245253,0.12370813709625261
C,20,80.69723618090453,1.91577183314301,85.3262311557789,1.6510976963410713,0.4965061409179056,0.006353525278069995,0.4964116415797088,0.00649824277079405,4.625000000000099,4.647468652173913,0.11065587795158303
C,21,92.05625,1.8068541855220894,91.26125628140704,1.9596062090619581,0.5210044771214986,0.01610500794965835,0.5193721052250687,0.005275434560225653,5.074285714285737,5.038676354701598,0.11635094067331622
C,22,87.17361111111111,1.842070660206684,88.12441340782122,1.8675345963551209,0.5452513105149553,0.005816600325469266,0.5452456002101392,0.005541842568378601,4.6418181818182855,4.158563134109631,1.0018847275465728
C,23,64.33712121212122,1.7662367276575477,68.29145728643216,1.8087713858297938,0.5714088263418777,0.006772899503776828,0.5714969462062487,0.006303732442747471,4.070000000000066,4.076062670180055,0.06717924209647225
C,24,70.46482412060301,1.6391728772266396,70.16633165829147,1.9799525834932472,0.596487318693785,0.008264103622168291,0.5961694880086826,0.0069237084465363155,3.3711111111111176,3.3793266969811797,0.0692320795203909
C,25,107.00367647058823,12.99951396261688,91.9689447236181,2.7776255014349966,0.6799880957072542,0.3735304631188949,0.6192833681131142,0.010151372066043957,3.805714285714393,2.86653501698756,3.61958470806241
C,26b,98.86306532663316,5.671713897589944,123.06829145728643,4.918967422181429,0.6533455133457844,0.08409675554129772,0.6484402694367394,0.03574171989978649,3.206666666666719,0.9306272607227225,4.0328079309569755
D,14,53.4779792746114,1.3284622844608303,41.69271356783919,4.289755434785243,0.3434817005922228,0.028251723150555085,0.36173196842835,0.07387098301998722,7.537674418604926,7.505034307033768,0.6035601557560933
D,15,62.332089552238806,4.1771075652825,57.2813567839196,1.5627981471802446,0.3611421345708677,0.054872072912804055,0.3659644292677476,0.03093745758680287,10.01752066115679,9.50394142159902,3.1118883199236107
D,18,57.03409090909091,12.00665612929857,68.996783919598,1.6054945770421751,0.5207824102404062,0.16057539792683573,0.44473369945239277,0.004829042661469002,6.84000000000016,6.532339032968856,2.109622503004717
D,20,95.65,1.9772576308345524,102.25412060301508,1.8887417931361166,0.49478255404726,0.008145090559667917,0.49434481484901643,0.006266781573887483,5.285714285714086,5.33863229103285,0.1518808306624835
D,22,105.31875,4.021763774363671,115.50075376884422,2.821477321802859,0.5453240633672527,0.0244906519243944,0.5428204337547539,0.005237782981965617,4.862857142857136,4.8994076857920925,0.19505733252326954
D,25,126.24371859296483,4.00145469018229,107.85773869346734,4.907728538348624,0.625349845673494,0.07822366662545399,0.6175076108598141,0.015403933323748746,-7.7699999999994755,-8.04141498688689,1.2018062832556369
E,15,74.4451219512195,7.472685595524864,67.78718592964825,2.2143622381672885,0.3885387399729064,0.08105396869343678,0.36805820641040327,0.0034646370471851295,6.962727272727286,7.078491672366194,2.1579880930746236
E,18,56.42667844522968,22.023413240733653,85.4051256281407,1.9928204111782317,0.7775757550805787,0.5902455431445385,0.4425125313283208,0.0039357683868231335,7.2519999999998594,7.674416065903416,4.0441491978528274
E,19,90.35804020100502,1.8176701922154763,97.96291457286432,4.0668705298800445,0.4658266969940396,0.02387165188494233,0.4659866688168576,0.024166351684068735,4.706399999999947,4.6509892558207975,0.21083660524577705
E,20,112.06875,2.703981976668993,114.63572864321608,2.251826721255268,0.4921946049827769,0.005841233796088129,0.4923717948717949,0.005091197385164581,5.55000000000002,5.66323589104093,0.1742704354028158
E,23,99.71534653465346,7.055398210531212,107.45829145728644,3.4498234613706855,0.5810291320854347,0.10533233707845187,0.5672743984539983,0.012054852083343483,4.673684210526439,4.622752437928857,1.2717428992754565