Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
5.04,-34.81,44.16
5.16,0.35,41.56
5.29,2.86,20.78
5.41,35.52,-23.38
5.54,34.26,-53.25
5.66,27.98,-44.16
5.79,-12.21,-22.08
5.91,-41.09,-20.78
6.04,-33.56,41.56
6.16,-4.67,40.26
6.29,0.35,16.88
6.41,36.77,-25.97
6.54,34.26,-53.25
6.66,35.52,-38.96
6.79,-23.51,-9.09
6.91,-41.09,1.30
7.04,-31.05,44.16
7.16,-8.44,42.86
7.29,11.65,11.69
7.41,12.91,-31.17
7.54,35.52,-51.95
7.66,33.01,-45.45
7.79,-22.25,-19.48
7.91,-39.84,-18.18
8.04,-33.56,40.26
8.16,-3.42,44.16
8.29,34.26,18.18
8.41,40.54,-22.08
8.54,33.01,-53.25
8.66,33.01,-41.56
8.79,-13.46,-6.49
8.91,-38.58,7.79
9.04,-34.81,45.45
9.16,-9.70,40.26
9.29,5.38,41.56
9.41,5.38,-29.87
9.54,33.01,-54.55
9.66,33.01,-40.26
9.79,-17.23,-16.88
9.91,-39.84,-15.58
10.04,-32.30,42.86
10.16,-5.93,44.16
10.29,9.14,20.78
10.41,12.91,-3.90
10.54,35.52,-53.25
10.66,34.26,-45.45
10.79,-14.72,-12.99
10.91,-38.58,18.18
11.04,-34.81,45.45
11.16,-8.44,41.56
11.29,22.96,32.47
11.41,36.77,-25.97
11.54,35.52,-53.25
11.66,30.49,-42.86
11.79,-19.74,-23.38
11.91,-39.84,23.38
12.04,-33.56,45.45
12.16,-13.46,44.16
12.29,9.14,40.26
12.41,46.82,-16.88
12.54,36.77,-49.35
12.66,22.96,-42.86
12.79,-18.49,-28.57
12.91,-39.84,27.27
13.04,-34.81,45.45
13.16,-9.70,42.86
13.29,17.93,32.47
13.41,17.93,-24.68
13.54,35.52,-54.55
13.66,11.65,-42.86
13.79,-14.72,-29.87
13.91,-36.07,25.97
14.04,-36.07,45.45
14.16,-12.21,41.56
14.29,21.70,19.48
14.41,40.54,-24.68
14.54,36.77,-51.95
14.66,29.24,-36.36
14.79,-18.49,-31.17
14.91,-39.84,24.68
15.04,-34.81,42.86
15.16,-9.70,42.86
15.29,12.91,27.27
15.41,12.91,-16.88
15.54,36.77,-51.95
15.66,33.01,-46.75
15.79,-13.46,-15.58
15.91,-38.58,18.18
16.04,-32.30,45.45
16.16,-12.21,44.16
16.29,11.65,25.97
16.41,10.40,-22.08
16.54,39.28,-50.65
16.66,38.03,-44.16
16.79,-18.49,-37.66
16.91,-41.09,18.18
17.04,-36.07,42.86
17.16,-15.98,42.86
17.29,-8.44,20.78
17.41,36.77,-19.48
17.54,36.77,-49.35
17.66,35.52,-46.75
17.79,-12.21,-14.29
17.91,-38.58,27.27
18.04,-33.56,42.86
18.16,-13.46,41.56
18.29,24.21,27.27
18.41,45.56,-19.48
18.54,36.77,-49.35
18.66,31.75,-44.16
18.79,-18.49,-14.29
18.91,-42.35,18.18
19.04,-37.33,49.35
19.16,-14.72,42.86
19.29,16.68,27.27
19.41,34.26,-7.79
19.54,36.77,-46.75
19.66,34.26,-50.65
19.79,-14.72,-15.58
19.91,-39.84,29.87
20.04,-34.81,44.16
20.16,-10.95,42.86
20.29,4.12,29.87
20.41,35.52,28.57
20.54,36.77,-42.86
20.66,22.96,-45.45
20.79,-9.70,-41.56
20.91,-37.33,-41.56
21.04,-37.33,-41.56
21.16,-12.21,44.16
21.29,-5.93,36.36
21.41,45.56,-15.58
21.54,36.77,-51.95
21.66,34.26,-51.95
21.79,-15.98,-41.56
21.91,-39.84,11.69
22.04,-36.07,41.56
22.16,-12.21,40.26
22.29,12.91,25.97
22.41,35.52,20.78
22.54,39.28,-48.05
22.66,36.77,-48.05
22.79,-12.21,-22.08
22.91,-37.33,-22.08
23.04,-34.81,44.16
23.17,-14.72,42.86
23.29,19.19,25.97
23.42,40.54,-12.99
23.54,38.03,-50.65
23.67,17.93,-46.75
23.79,-17.23,-31.17
23.92,-34.81,-31.17
24.04,-38.58,44.16
24.17,-15.98,41.56
24.29,4.12,31.17
24.42,35.52,-12.99
24.54,39.28,-48.05
24.67,21.70,-49.35
24.79,19.19,-31.17
24.92,-36.07,18.18
25.04,-36.07,42.86
25.17,-32.30,44.16
25.29,21.70,35.06
25.42,33.01,-14.29
25.54,36.77,-49.35
25.67,30.49,-44.16
25.79,31.75,-33.77
25.92,-38.58,-35.06
26.04,-38.58,41.56
26.17,-14.72,42.86
26.29,-4.67,20.78
26.42,34.26,-20.78
26.54,38.03,-41.56
26.67,20.45,-50.65
26.79,-12.21,-20.78
26.92,-34.81,12.99
27.04,-36.07,41.56
27.17,-10.95,46.75
27.29,17.93,29.87
27.42,31.75,-6.49
27.54,38.03,-44.16
27.67,22.96,-48.05
27.79,-7.18,-41.56
27.92,-37.33,12.99
28.04,-34.81,45.45
28.17,-26.02,40.26
28.29,17.93,32.47
28.42,34.26,32.47
28.54,36.77,-49.35
28.67,31.75,-48.05
28.79,31.75,-20.78
28.92,-38.58,23.38
29.04,-37.33,45.45
29.17,-17.23,42.86
29.29,15.42,28.57
29.42,21.70,-9.09
29.54,40.54,-42.86
29.67,26.73,-48.05
29.79,-4.67,-27.27
29.92,-37.33,7.79
30.04,-37.33,45.45
30.17,-13.46,42.86
30.29,17.93,24.68
30.42,39.28,25.97
30.54,36.77,-46.75
30.67,26.73,-49.35
30.79,27.98,-22.08
30.92,-36.07,20.78
31.04,-38.58,41.56
31.17,-13.46,40.26
31.29,1.61,33.77
31.42,34.26,33.77
31.54,38.03,-45.45
31.67,31.75,-51.95
31.79,-8.44,-25.97
31.92,-38.58,2.60
32.04,-38.58,38.96
32.17,-10.95,45.45
32.29,19.19,37.66
32.42,19.19,-11.69
32.54,38.03,-45.45
32.67,27.98,-46.75
32.79,-8.44,-19.48
32.92,-37.33,1.30
33.04,-39.84,41.56
33.17,-14.72,41.56
33.29,21.70,20.78
33.42,33.01,-14.29
33.54,39.28,-48.05
33.67,29.24,-45.45
33.79,29.24,-27.27
33.92,-37.33,-10.39
34.04,-36.07,42.86
34.17,-17.23,45.45
34.29,15.42,32.47
34.42,31.75,35.06
34.54,39.28,-46.75
34.67,34.26,-50.65
34.79,-5.93,-22.08
34.92,-39.84,12.99
35.04,-37.33,20.78
35.17,-10.95,48.05
35.29,-2.16,25.97
35.42,-3.42,-11.69
35.54,38.03,-48.05
35.67,31.75,-49.35
35.79,-3.42,-32.47
35.92,-33.56,12.99
36.04,-39.84,48.05
36.17,-14.72,48.05
36.29,15.42,28.57
36.42,31.75,-1.30
36.54,39.28,-2.60
36.67,26.73,-51.95
36.79,20.45,-20.78
36.92,-36.07,12.99
37.04,-36.07,48.05
37.17,-13.46,44.16
37.29,15.42,36.36
37.42,35.52,36.36
37.54,36.77,-45.45
37.67,34.26,-51.95
37.79,-3.42,-27.27
37.92,-37.33,14.29
38.04,-39.84,42.86
38.17,-15.98,44.16
38.29,12.91,23.38
38.42,36.77,-10.39
38.54,38.03,-41.56
38.67,26.73,-53.25
38.79,-12.21,-31.17
38.92,-38.58,11.69
39.04,-38.58,36.36
39.17,-18.49,48.05
39.29,11.65,31.17
39.42,34.26,10.39
39.54,38.03,-42.86
39.67,26.73,-53.25
39.79,1.61,-24.68
39.92,-38.58,-24.68
40.04,-39.84,24.68
40.17,-14.72,45.45
40.29,12.91,27.27
40.42,31.75,2.60
40.54,38.03,-46.75
40.67,30.49,-49.35
40.79,7.89,-42.86
40.92,-36.07,-42.86
41.04,-39.84,41.56
41.17,-17.23,46.75
41.29,17.93,25.97
41.42,34.26,-3.90
41.54,40.54,-37.66
41.67,27.98,-53.25
41.79,-4.67,-33.77
41.92,-34.81,-32.47
42.04,-36.07,28.57
42.17,-13.46,46.75
42.29,9.14,33.77
42.42,15.42,-6.49
42.54,40.54,-6.49
42.67,29.24,-53.25
42.79,-3.42,-42.86
42.92,-38.58,-42.86
43.04,-41.09,37.66
43.17,-17.23,48.05
43.29,15.42,29.87
43.42,31.75,-11.69
43.54,40.54,-45.45
43.67,25.47,-50.65
43.79,-3.42,-41.56
43.92,-26.02,5.19
44.04,-42.35,40.26
44.17,-19.74,46.75
44.29,7.89,35.06
44.42,15.42,-3.90
44.54,41.80,-38.96
44.67,26.73,-51.95
44.79,-3.42,-24.68
44.92,-34.81,18.18
45.04,-41.09,41.56
45.17,-17.23,48.05
45.29,11.65,31.17
45.42,36.77,19.48
45.54,40.54,-45.45
45.67,29.24,-51.95
45.79,-2.16,-20.78
45.92,-33.56,11.69
46.04,-43.61,44.16
46.17,-22.25,44.16
46.29,-4.67,33.77
46.42,36.77,22.08
46.54,41.80,22.08
46.67,30.49,-54.55
46.79,17.93,-20.78
46.92,-32.30,11.69
47.04,-41.09,35.06
47.17,-17.23,48.05
47.29,-4.67,32.47
47.42,34.26,-3.90
47.54,44.31,-31.17
47.67,29.24,-51.95
47.79,-0.90,-29.87
47.92,-33.56,-29.87
48.04,-44.86,38.96
48.17,-22.25,45.45
48.29,15.42,33.77
48.42,31.75,-6.49
48.54,40.54,-41.56
48.67,25.47,-51.95
48.79,-12.21,-38.96
48.92,-29.79,6.49
49.04,-46.12,37.66
49.17,-23.51,48.05
49.29,10.40,32.47
49.42,33.01,-2.60
49.54,43.05,-36.36
49.67,29.24,-54.55
49.79,0.35,-31.17
49.92,-36.07,9.09
50.04,-42.35,36.36
50.17,-21.00,46.75
50.29,6.63,33.77
50.42,34.26,-3.90
50.54,44.31,-41.56
50.67,31.75,-51.95
50.79,-0.90,-32.47
50.92,-32.30,-32.47
51.04,-44.86,41.56
51.17,-24.77,46.75
51.29,6.63,35.06
51.42,38.03,-0.00
51.54,41.80,-38.96
51.67,27.98,-53.25
51.79,-2.16,-33.77
51.92,-8.44,-24.68
52.04,-42.35,37.66
52.17,-22.25,46.75
52.29,6.63,33.77
52.42,27.98,-5.19
52.54,46.82,-38.96
52.67,35.52,-53.25
52.79,-0.90,-37.66
52.92,-29.79,18.18
53.04,-43.61,42.86
53.17,-22.25,46.75
53.29,6.63,32.47
53.42,31.75,7.79
53.54,43.05,-38.96
53.67,27.98,-54.55
53.79,-5.93,-46.75
53.92,-27.28,-48.05
54.04,-43.61,36.36
54.17,-27.28,45.45
54.29,-8.44,36.36
54.42,27.98,7.79
54.54,43.05,9.09
54.67,31.75,-50.65
54.79,-2.16,-44.16
54.92,-32.30,-44.16
